,MSE_RLBHE,PSNR_RLBHE,SSIM_RLBHE,MSE_FRx,PSNR_FRx,SSIM_FRx,MSE_LIME,PSNR_LIME,SSIM_LIME,MSE_FHSABP,PSNR_FHSABP,SSIM_FHSABP,MSE_DUAL,PSNR_DUAL,SSIM_DUAL,MSE_Rx,PSNR_Rx,SSIM_Rx
0,0.2157318115715341,0.2318575233221054,0.13117048144340515,0.22412897902451517,0.24049106240272522,0.4620366,0.1824835184471365,0.21725699305534363,0.38396648,0.23682420853857836,0.22219929099082947,0.10218561,0.18545749993596608,0.21660228073596954,0.38026896,0.3702775252594168,0.2069675475358963,0.30807278
1,0.3426879593774947,0.18158330023288727,0.10732579231262207,0.07493314395771099,0.3035411238670349,0.44030836,0.26217623456704414,0.19016078114509583,0.26687965,0.3238840724394939,0.17949219048023224,0.06843796,0.2626252282284115,0.19021780788898468,0.26390752,0.14042532475926278,0.27099886536598206,0.2166896
2,0.328495710842908,0.18617819249629974,0.0896785780787468,0.06407039045712926,0.3125537931919098,0.35905465,0.1677569787003243,0.2235490381717682,0.29573718,0.2538020922853252,0.21275438368320465,0.050609227,0.16722313449210519,0.22445131838321686,0.29384673,0.05638239797980101,0.3312619626522064,0.2855241
3,0.08741682416704462,0.3299920856952667,0.20589792728424072,0.3415092741855453,0.21625496447086334,0.40499654,0.011886557028307798,0.42149364948272705,0.48391184,0.06591842709225466,0.3966604173183441,0.20611776,0.011787024576582351,0.4256007969379425,0.48377803,0.2345426751471691,0.23712261021137238,0.36201966
4,0.27535043929494746,0.2053498476743698,0.12106522172689438,0.06989570523874257,0.3075459599494934,0.49654546,0.23324292493701812,0.19890502095222473,0.32357815,0.29208917427640313,0.1935875117778778,0.067352585,0.23629110647191412,0.19823119044303894,0.3194094,0.12450566039741387,0.27894508838653564,0.2785978
5,0.39486356868170863,0.16618764400482178,0.059770841151475906,0.2773298055715763,0.22823438048362732,0.40667418,0.5344915359271911,0.1368967443704605,0.16192545,0.4128664647017728,0.1463790237903595,0.020931229,0.530427772538203,0.1369064897298813,0.15868898,0.4964308800248893,0.18760502338409424,0.16293626
6,0.07901914658185198,0.34096384048461914,0.0783487856388092,0.19119926706844514,0.24963562190532684,0.36156884,0.05006382714604307,0.31397154927253723,0.31549558,0.09930483802873807,0.3407607972621918,0.028905926,0.05265435719009444,0.31208914518356323,0.31200966,0.11604953864688883,0.28359001874923706,0.25953177
7,0.11963105704137023,0.2959108054637909,0.13493028283119202,0.6239136194986754,0.18157494068145752,0.34875682,0.06825722346706113,0.2907916307449341,0.2689352,0.14661437484034326,0.2876119613647461,0.06535805,0.06944637005875558,0.2910964787006378,0.2680876,0.16131108702277672,0.261841744184494,0.19354844
8,0.40973567026057833,0.16217124462127686,0.053264398127794266,0.23737328661114304,0.23718716204166412,0.3726145,0.5691166692363476,0.13220296800136566,0.14060037,0.42581347601360303,0.14216691255569458,0.017935088,0.5687784617972409,0.1316123902797699,0.13769399,0.545618399558229,0.18136581778526306,0.16563754
9,0.26687422829589075,0.2087465226650238,0.0976070687174797,0.2698503875373495,0.22980771958827972,0.35650802,0.26893935014140785,0.18825627863407135,0.2020788,0.2485899179577828,0.21558500826358795,0.030150047,0.2656116943676418,0.18936026096343994,0.20008905,0.24277548123931705,0.23484425246715546,0.19331597
10,0.2671791528807463,0.20862245559692383,0.1036980077624321,0.07032341521068479,0.30719488859176636,0.41019592,0.17609766757955686,0.21992066502571106,0.24990372,0.25098177937182625,0.21427875757217407,0.07246926,0.17527194606166663,0.22088618576526642,0.24977185,0.0888914070551879,0.30119651556015015,0.20363872
11,0.05951069085353049,0.3717653453350067,0.33723950386047363,0.08522731189182044,0.2961333394050598,0.54131156,0.03836997426171187,0.33386412262916565,0.41514054,0.11861455888530252,0.31652188301086426,0.10798225,0.03959147439381618,0.3337134122848511,0.41196552,0.14723569115526328,0.267871230840683,0.30823743
12,0.119926879878736,0.29564252495765686,0.18142341077327728,0.1617728203735816,0.2592530846595764,0.4818662,0.12257612921241921,0.24701306223869324,0.37445274,0.1577738938952555,0.27760493755340576,0.029943971,0.12425286959557895,0.24697621166706085,0.3680677,0.12490717477777018,0.2787325084209442,0.36277997
13,0.06873021720196683,0.35611844062805176,0.16490647196769714,0.26035072756980254,0.23187008500099182,0.34675458,0.022604913153762965,0.37342962622642517,0.27727354,0.07667746129094381,0.3760358691215515,0.08296353,0.024474749493340168,0.37018972635269165,0.27485165,0.24825651818488995,0.2333698719739914,0.19132207
14,0.36748496923051155,0.17399387061595917,0.1308351755142212,0.28366828759971446,0.22693392634391785,0.43905702,0.27962493409472056,0.18534265458583832,0.30621707,0.3635564139644167,0.16372960805892944,0.087267704,0.28524474817082757,0.18395200371742249,0.30174282,0.14177269306546064,0.27036818861961365,0.28558433
